Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,ROYAL VOLUNTARY SERVICES,28/04/2014,862.40,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,ROYAL VOLUNTARY SERVICES,28/04/2014,690.12,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/04/2014,118.47,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,11/04/2014,"1,040.18",,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,11/04/2014,164.45,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,11/04/2014,980.93,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/04/2014,"1,057.43",,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/04/2014,-936.37,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,15/04/2014,125.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,30/04/2014,125.00,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/04/2014,110.98,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/04/2014,114.73,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/04/2014,213.76,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/04/2014,133.76,,,,,,,,
