Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Other Expenses,TV LICENSING,12/06/2014,145.50,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,23/06/2014,964.01,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Other Expenses,RENTOKIL INITIAL UK LIMITED,23/06/2014,174.66,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Other Expenses,TV LICENSING,25/06/2014,-145.50,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/06/2014,996.49,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/06/2014,"1,146.69",,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/06/2014,904.69,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,05/06/2014,223.27,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/06/2014,172.01,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/06/2014,121.74,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,04/06/2014,127.13,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/06/2014,873.83,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/06/2014,148.16,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/06/2014,"-1,032.75",,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),25/06/2014,"2,020.18",,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),25/06/2014,789.29,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/06/2014,141.41,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ROYAL VOLUNTARY SERVICES,25/06/2014,261.52,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/06/2014,103.52,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,03/06/2014,125.00,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,30/06/2014,165.00,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS ,12/06/2014,211.49,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,20/06/2014,242.80,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,HEARING PRODUCTS INTERNATIONAL LIMITED,10/06/2014,744.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,06/06/2014,"3,500.00",,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,06/06/2014,"5,100.00",,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),03/06/2014,213.40,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,AIDSERVICE LTD,05/06/2014,280.40,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,26/06/2014,447.09,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,26/06/2014,305.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MIDEQUIP LTD,27/06/2014,"1,295.00",,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,18/06/2014,180.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,18/06/2014,180.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,18/06/2014,180.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,18/06/2014,180.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,18/06/2014,180.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,18/06/2014,"5,523.66",,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,18/06/2014,576.64,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,18/06/2014,259.50,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,18/06/2014,159.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/06/2014,"5,442.60",,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/06/2014,576.64,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,09/06/2014,195.72,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,17/06/2014,330.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,23/06/2014,205.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,24/06/2014,476.56,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,24/06/2014,171.25,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),24/06/2014,125.00,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),24/06/2014,125.00,,,,,,,
