Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Employees,Staff Training,Clinical Audit Support CentreLtd,12/11/2014,150.00,,,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Employees,Staff Training,Drugs training.com Ltd,26/11/2014,115,,,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,26/11/2014,760.57,,,,,,,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Financial Services,DUN & BRADSTREET LIMITED,20/11/2014,101.99,,,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,11/11/2014,233.22,,,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,11/11/2014,182.39,,,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,11/11/2014,569.70,,,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ROYAL VOLUNTARY SERVICES,11/11/2014,259.56,,,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,04/11/2014,115.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,19/11/2014,125.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,03/11/2014,125.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,28/11/2014,108.53,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,05/11/2014,164.22,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,12/11/2014,864,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,11/11/2014,534.45,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,12/11/2014,149,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AV10 Limited,07/11/2014,366.6,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,10/11/2014,124.25,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,10/11/2014,205,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MOUNTWAY LTD,04/11/2014,895.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,05/11/2014,380,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,05/11/2014,592.8,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,05/11/2014,227.7,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,12/11/2014,532.8,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/11/2014,125.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),19/11/2014,125.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),10/11/2014,169,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),10/11/2014,125,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),10/11/2014,169,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),10/11/2014,125,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),11/11/2014,-100.68,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,25/11/2014,"4,923.61",,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,25/11/2014,553.36,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,14/11/2014,195,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,03/11/2014,-165.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,03/11/2014,165.00,,,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/11/2014,129.5,,,,,,,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,06/11/2014,120,,,,,,,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,21/11/2014,120,,,,,,,,,
Adult Social Services,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),06/11/2014,140,,,,,,,,,
Adult Social Services,Access & Enablement,HOBB,Third Party Payments,Homecare Expenditure,THE WREKIN HOUSING TRUST (INVOICES ONLY),21/11/2014,119.48,,,,,,,,,
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,20/11/2014,6301.66,,,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,05/11/2014,40162.5,,,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,05/11/2014,7159.04,,,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,05/11/2014,1092,,,,,,,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,HOME GROUP LTD (10669598),03/11/2014,1549,,,,,,,,,
Adult Social Services,Assessment & Case Management,HLAB,Premises-Related Expenditure,General Rents,WREKIN HOUSING TRUST (CARE SUPPORT PYMTS ONLY),03/11/2014,13245.66,,,,,,,,,
Adult Social Services,Assessment & Case Management,HLAF,Third Party Payments,Homecare Expenditure,CREATIVE SUPPORT LTD,03/11/2014,742.03,,,,,,,,,
Adult Social Services,Assessment & Case Management,HLCK,Third Party Payments,Residential Expenditure,CHOICES HOUSING ASSOCIATION,05/11/2014,28532.25,,,,,,,,,
Adult Social Services,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,17/11/2014,68380.23,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBJ,Supplies & Services,Telephones,SHREWSBURY & TELFORD CASH REGISTER CO,13/11/2014,150.25,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,1471.28,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,1296.5,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,1209.97,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,-108.45,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,778.14,,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,13/11/2014,"1,474.38",,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,21/11/2014,"1,298.00",,,,,,,,,
Adult Social Services,Assessment & Case Management,HOBY,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,26/11/2014,15214.36,,,,,,,,,
Adult Social Services,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BT GLOBAL SERVICES,05/11/2014,369.82,,,,,,,,,
Adult Social Services,Care & Support,HCTR,Supplies & Services,Advertising,PARTNERSHIP PUBLISHING LTD,17/11/2014,290,,,,,,,,,
Adult Social Services,Care & Support,HHAC,Employees,Training Exp's (Facilitators),NDI CONSULTING LTD,20/11/2014,6000,,,,,,,,,
Adult Social Services,Care & Support,HHAC,Supplies & Services,Consultants Fees,CAPITA BUSINESS SERVICES LTD 60864978,05/11/2014,1150,,,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,MEADCROFT COMFORTS FUND,21/11/2014,130.00,,,,,,,,,
Adult Social Services,Personalisation Support & Service Provision,HMAC,Premises-Related Expenditure,Hire Of Rooms,MEADCROFT COMFORTS FUND,21/11/2014,130.00,,,,,,,,,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,19/11/2014, 677.51 ,,,,,,,,,
