Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,110.82,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,157.68,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,252.93,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,186.1,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,05/04/2013,-1317.86,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/04/2013,-1379.86,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,17/04/2013,830.1,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,17/04/2013,2029.46,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/04/2013,1300.5,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,1890.22,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,130.02,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,1320.34,,,,,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/04/2013,-2021.95,,,,,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Refreshments Meetings,AUTOBAR UK LTD,11/04/2013,107.49,,,,,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,16/04/2013,1453.8,,,,,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,25/04/2013,199.5,,,,,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,18/04/2013,1071.96,,,,,
