Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Employees,Agency Supply Costs,Seven Resourcing Ltd,16/04/2018, 765.81 
Adult Social Care,Community Early Help,Employees,Agency Supply Costs,Seven Resourcing Ltd,16/04/2018, 509.67 
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,ANGEL SPRINGS LTD / PHS GROUP,05/04/2018, 304.94 
Adult Social Care,Community Early Help,Transport-Related Expenditure,Licences,REDACTED PERSONAL INFORMATION,04/04/2018," 1,200.00 "
Adult Social Care,Community Early Help,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,12/04/2018, 124.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,03/04/2018, 354.96 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Rise & Recline Ltd,20/04/2018," 1,388.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,20/04/2018, 558.90 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,20/04/2018, 565.20 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,05/04/2018, 184.50 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,24/04/2018, 599.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,06/04/2018," 1,773.94 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,27/04/2018, 250.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,REDACTED PERSONAL INFORMATION,26/04/2018, 265.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 153.76 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 347.89 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 158.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 147.50 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 110.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 147.50 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 153.76 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 153.76 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 208.76 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,27/04/2018, 118.50 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,12/04/2018," 1,082.09 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,12/04/2018, 152.15 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,12/04/2018, 560.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,17/04/2018," 1,290.00 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,BERWICK CARE EQUIPMENT LTD,17/04/2018, 395.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,17/04/2018, 304.29 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,05/04/2018, 450.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,05/04/2018," 1,140.00 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,05/04/2018, 168.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,30/04/2018, 117.50 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 168.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 299.60 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Contract Hire - Mini Bus,REDACTED PERSONAL INFORMATION,30/04/2018, 168.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,30/04/2018, 163.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 122.08 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 228.48 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),Shropshire Independent Advocacy Service,30/04/2018," 26,669.00 "
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,30/04/2018, 117.50 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 410.20 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,30/04/2018, 782.00 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,CENTRAL TAXIS LTD T/A GO CARZ ,30/04/2018, 624.30 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,30/04/2018, 141.00 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/04/2018," 7,698.88 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,05/04/2018," 38,860.06 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,30/04/2018," 38,860.06 "
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,R&M -Buildings DLO Charge,REDACTED PERSONAL INFORMATION,30/04/2018, 166.25 
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,30/04/2018," 12,146.94 "
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,30/04/2018," 11,981.85 "
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Legal Expenses,Gowling WLG,06/04/2018," 1,082.52 "
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,06/04/2018," 1,092.00 "
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,12/04/2018, 129.00 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,23/04/2018, 449.56 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,23/04/2018, 449.56 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,23/04/2018, 449.56 
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,23/04/2018, 449.56 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,External Foster Care Payments,CREATIVE SUPPORT LTD,23/04/2018, 449.56 
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,Permanent Futures Ltd,23/04/2018," 7,800.00 "
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,24/04/2018," 1,248.30 "
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC ,05/04/2018, 573.87 
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,12/04/2018, 148.00 
Adult Social Care,Service Improvement & Efficiency,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,13/04/2018," 91,317.74 "
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,24/04/2018," 1,046,864.13 "
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Marketing & Publicity,ROB FINNEY PHOTOGRAPHY,03/04/2018, 140.00 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,19/04/2018, 161.25 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Printing - Other,The Sign Hub T/A SH Ltd,25/04/2018," 4,478.85 "
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Printing - Other,ALLWAG PROMOTIONS LTD,27/04/2018, 313.00 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Printing - Other,ALLWAG PROMOTIONS LTD,27/04/2018, 295.00 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Marketing & Publicity,3S PRINT & DISPLAY LIMITED,13/04/2018," 2,576.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,04/04/2018, 117.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Administrative/Office Supplies,Impact Test Equipment Ltd,05/04/2018, 740.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Administrative/Office Supplies,Impact Test Equipment Ltd,05/04/2018, 104.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Administrative/Office Supplies,Impact Test Equipment Ltd,05/04/2018, 175.00 
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,04/04/2018," 1,883.64 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,05/04/2018," 1,000.00 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,05/04/2018," 1,170.00 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,26/04/2018," 1,893.33 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,11/04/2018," 1,150.00 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,Park Avenue Recruitment Limited,13/04/2018," 1,140.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Be Bold Media Limited,19/04/2018," 1,000.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Kensa Creative Ltd,23/04/2018," 2,400.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,04/04/2018, 166.32 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,10/04/2018, 138.60 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,23/04/2018, 221.76 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,23/04/2018, 332.64 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Computer Software (Maint),EXEGESIS SDM,13/04/2018, 324.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Subscriptions,World Heritage UK,13/04/2018, 600.00 
