Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/08/2013,1013.1,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,28/08/2013,1156.94,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,131.23,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,411.58,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,147,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,111.65,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,171.84,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,118.52,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,195.09,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/08/2013,143.57,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,RANDLAY PENSIONERS LUNCHEON CLUB,12/08/2013,165.6,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/08/2013,166.28,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/08/2013,214.14,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,22/08/2013,272.09,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,12/08/2013,915.36,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,12/08/2013,2018.1,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,30/08/2013,606.41,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,15/08/2013,1522.91,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,02/08/2013,997.94,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,13/08/2013,771.8,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,13/08/2013,100.05,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,14/08/2013,156.66,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,07/08/2013,446.09,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,28/08/2013,2600,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,28/08/2013,889.2,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Welland Medical,07/08/2013,771,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,19/08/2013,8192.09,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,19/08/2013,982.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,09/08/2013,1269.23,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,09/08/2013,319.16,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Prism Medical UK Carefree Division,22/08/2013,349.96,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BITTESWELL EMPLOYMENT ALLIANCE LTD,22/08/2013,415.6,
