Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,28/08/2014,820.45,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/08/2014,108.5,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/08/2014,-1031.93,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/08/2014,894.23,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/08/2014,938.92,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,15/08/2014,143.58,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,15/08/2014,106.62,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),11/08/2014,2028.18,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),11/08/2014,788.77,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),11/08/2014,2020.66,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),11/08/2014,784.61,,,,,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,05/08/2014,905.77,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,15/08/2014,999.8,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,15/08/2014,141.3,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,04/08/2014,110,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,04/08/2014,104.5,,,,,,,
Adult Social Services,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/08/2014,125,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,14/08/2014,331.85,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/08/2014,387.8,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/08/2014,460.95,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/08/2014,925.5,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AV10 Limited,01/08/2014,329.8,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,15/08/2014,220.8,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,15/08/2014,2201.86,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,15/08/2014,175,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,15/08/2014,567.9,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,27/08/2014,470.95,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,27/08/2014,104.22,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,27/08/2014,135,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,19/08/2014,610,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,12/08/2014,162.83,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,05/08/2014,179.98,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,18/08/2014,5316.35,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,18/08/2014,543.51,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,06/08/2014,5357.29,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,06/08/2014,540.6,,,,,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX MEDICAL EQUIPMENT CO LTD,05/08/2014,153.84,,,,,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,15/08/2014,-220,,,,,,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,11/08/2014,120,,,,,,,
Adult Social Services,Access & Enablement,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,26/08/2014,6301.66,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),SHROPSHIRE PEER COUNSELLING & ADVOCACY  SERV,26/08/2014,"26,476.00",,,,,,,
Adult Social Services,Adult Social Care Commissioning,HLEF,Supplies & Services,Advertising,REGIONAL PUBLICATIONS LTD,28/08/2014,826.5,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,26/08/2014,100.27,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),26/08/2014,51604.78,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,26/08/2014,7159.04,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/08/2014,50526.58,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,28615.41,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,7682.51,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,7682.51,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,44608.11,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,38412.56,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,46095.07,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,32437.69,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,26/08/2014,42564.42,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,27/08/2014,38412.56,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,27/08/2014,46095.06,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,27/08/2014,32437.69,,,,,,,
Adult Social Services,Adult Social Care Commissioning,HOBZ,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,27/08/2014,28615.43,,,,,,,
