Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,20/08/2018, 103.93 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,20/08/2018, 115.99 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,20/08/2018, 133.66 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,20/08/2018, 447.70 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,15/08/2018, 454.50 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,17/08/2018, 299.90 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,28/08/2018," 6,301.66 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,14/08/2018," 1,050.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,30/08/2018, 140.00 
Adult Social Care,Community Early Help,Supplies & Services,Furniture - Purchase,CKL OFFICE SOLUTIONS LIMITED,20/08/2018, 256.00 
Adult Social Care,Community Early Help,Supplies & Services,Furniture - Purchase,CKL OFFICE SOLUTIONS LIMITED,20/08/2018, 138.00 
Adult Social Care,Community Early Help,Supplies & Services,Furniture - Purchase,CKL OFFICE SOLUTIONS LIMITED,20/08/2018, 490.00 
Adult Social Care,Community Early Help,Supplies & Services,Furniture - Purchase,CKL OFFICE SOLUTIONS LIMITED,20/08/2018, 108.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,01/08/2018, 500.52 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,14/08/2018, 517.50 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,13/08/2018," 1,675.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,13/08/2018," 1,150.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,13/08/2018," 1,125.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,13/08/2018, 640.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,31/08/2018, 148.56 
Adult Social Care,Community Early Help,Employees,Training Exp's (Facilitators),SHROPSHIRE PARTNERS IN CARE LTD,28/08/2018, 320.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,14/08/2018, 185.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,14/08/2018, 185.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,15/08/2018, 185.00 
Adult Social Care,Community Early Help,Third Party Payments,Interpreters Fees,VISS LTD,14/08/2018, 115.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,21/08/2018," 4,700.50 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 110.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 110.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,01/08/2018," 4,700.50 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,01/08/2018, 178.22 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 138.26 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 341.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 165.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 110.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,06/08/2018, 177.36 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,01/08/2018, 153.76 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,20/08/2018, 160.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,20/08/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,20/08/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,20/08/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,14/08/2018, 140.00 
Adult Social Care,Community Early Help,Employees,Training Expenses,A1 Risk Solutions Ltd,15/08/2018, 495.00 
Adult Social Care,Community Early Help,Employees,Staff Training,RIGHT 2 WRITE,13/08/2018," 1,290.00 "
Adult Social Care,Community Early Help,Employees,Staff Training,RIGHT 2 WRITE,13/08/2018, 380.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Response Electronics Ltd,22/08/2018, 759.56 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,M A S Associates,06/08/2018," 1,066.50 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Wealden Rehab,21/08/2018, 109.88 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Protelhealth Limited,10/08/2018," 2,637.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,15/08/2018, 948.66 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,07/08/2018," 1,214.23 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,17/08/2018," 1,082.53 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Chanter Biomed Healthcare Ltd,17/08/2018, 364.45 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,01/08/2018, 880.00 
Adult Social Care,Community Early Help,Supplies & Services,Subscriptions,Riscom Care Ltd,24/08/2018, 352.32 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS ,31/08/2018, 167.25 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Travelling Expenses General,REDACTED PERSONAL INFORMATION ,14/08/2018, 169.50 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Travelling Expenses General,REDACTED PERSONAL INFORMATION ,14/08/2018, 181.80 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Travelling Expenses General,REDACTED PERSONAL INFORMATION ,14/08/2018, 113.25 
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Travelling Expenses General,REDACTED PERSONAL INFORMATION ,16/08/2018, 100.10 
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,20/08/2018," 94,560.00 "
