Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,155.5,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,116.75,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,108.76,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,123.79,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,110.39,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,123.65,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,161.88,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,23/12/2013,303.19,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,27/12/2013,794.46,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,27/12/2013,2026.74,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,10/12/2013,-384.24,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,13/12/2013,150,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,02/12/2013,429.25,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,12/12/2013,185.04,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,09/12/2013,110,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS (01797293),16/12/2013,211.49,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,17/12/2013,120,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,17/12/2013,145,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,10/12/2013,227,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,12/12/2013,1282.6,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,10/12/2013,3400,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,12/12/2013,141.53,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CENTROBED LIMITED,12/12/2013,3400,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,19/12/2013,380,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,19/12/2013,671.5,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,12/12/2013,540.6,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,12/12/2013,105.52,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,06/12/2013,159,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,20/12/2013,150,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MOUNTWAY LTD,23/12/2013,771,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,24/12/2013,488,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,24/12/2013,199,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,05/12/2013,420,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,20/12/2013,180,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,20/12/2013,1453,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,CLEANIT CLEANING SERVICES,20/12/2013,485,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,23/12/2013,1361.94,,,,
Adult Care & Support,Access & Enablement,HOCN,Supplies & Services,Printing - Other,MARKETING AT THE MILL,24/12/2013,115,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/12/2013,-20260.21,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,04/12/2013,1873.29,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,1234.29,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,7560,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,2430,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/12/2013,1849.29,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,05/12/2013,2491.71,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,05/12/2013,19644.54,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/12/2013,22720.21,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/12/2013,20260.21,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Blue Butterfly,16/12/2013,246,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/12/2013,6900,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/12/2013,14604.59,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/12/2013,720,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,18/12/2013,-571.83,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,1371.43,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,8400,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,04/12/2013,2700,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,Blue Butterfly,16/12/2013,246,,,,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Mobile Phones,ORANGE PCS LTD,12/12/2013,119,,,,
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,23/12/2013,48195,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Consultants Fees,Impact Change Solutions,16/12/2013,3960,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,09/12/2013,118133.5,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),D H Homecare Limited,03/12/2013,218.44,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEF,Supplies & Services,Printing - Other,MARKETING AT THE MILL,02/12/2013,1330,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBQ,Premises-Related Expenditure,General Rents,REDACTED PERSONAL INFORMATION,23/12/2013,7666.25,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,17/12/2013,31455.91,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD,17/12/2013,4233.37,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,17/12/2013,28252.61,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,17/12/2013,6301.66,,,,
Adult Care & Support,Assessment & Case Management,HLCL,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,09/12/2013,61163,,,,
