Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,15/12/2014,760.57,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,15/12/2014,"1,295.00",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/12/2014,"1,004.25",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/12/2014,702.50,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/12/2014,"1,004.25",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/12/2014,702.50,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/12/2014,"-2,740.83",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/12/2014,"2,021.46",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/12/2014,783.34,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ICare (GB) Limited,31/12/2014,"3,498.00",,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,RANDLAY PENSIONERS LUNCHEON CLUB,11/12/2014,167.60,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS ,19/12/2014,"1,081.34",,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,10/12/2014,247.50,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,10/12/2014,179.70,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,10/12/2014,297.00,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,29/12/2014,470.95,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,29/12/2014,100.80,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,29/12/2014,740.25,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,19/12/2014,492.50,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,12/12/2014,492.50,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,05/12/2014,124.96,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,19/12/2014,230.00,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,19/12/2014,130.00,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,08/12/2014,332.40,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,M A Smith Associates,16/12/2014,220.00,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,02/12/2014,"3,400.00",,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Possum Ltd,15/12/2014,"1,075.00",,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),04/12/2014,100.68,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,19/12/2014,135.12,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,19/12/2014,169.34,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,02/12/2014,256.92,,
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,15/12/2014,"19,662.00",,
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,15/12/2014,"19,662.00",,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,01/12/2014,-180.00,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,01/12/2014,-420.00,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,15/12/2014,140.00,,
Adult Social Services,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,15/12/2014,140.00,,
