Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,19/02/2013,254.15,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2013,190.21,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2013,102.98,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,21/02/2013,175.32,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,"1,367.46",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,200.42,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,"1,518.74",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,"1,346.12",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,"1,449.30",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,122.51,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,166.39,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,198.72,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2013,129.18,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,25/02/2013,"2,025.14",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,25/02/2013,"1,139.18",
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,21/02/2013,193.65,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,21/02/2013,127.27,
Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,20/02/2013,410.00,
Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,21/02/2013,-403.17,
