Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
,,,,,,,,,,,,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,17/02/2014,800,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,102.4,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,115.76,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,145.32,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,24/02/2014,129.81,,,,,,,,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,24/02/2014,200,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,RANDLAY PENSIONERS LUNCHEON CLUB,03/02/2014,125.2,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2014,157.47,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,07/02/2014,150.45,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,05/02/2014,364.65,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,05/02/2014,517.65,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,175.85,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,183.73,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,12/02/2014,115.82,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2014,1049.55,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/02/2014,801.53,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2014,109.54,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2014,1093.35,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/02/2014,2022.9,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/02/2014,972.3,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,EDRYD JENKINS (ELECTRICAL) LTD,21/02/2014,250.34,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,21/02/2014,124.57,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/02/2014,1063.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/02/2014,126.3,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/02/2014,1112.7,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,HARTSHORNE COURT LUNCHEON CLUB,27/02/2014,101.2,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/02/2014,183.8,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,04/02/2014,125,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,04/02/2014,297,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,12/02/2014,1359.8,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,17/02/2014,159,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,25/02/2014,2995,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,24/02/2014,193.95,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,05/02/2014,331.85,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST,24/02/2014,125,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,18/02/2014,421.58,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,04/02/2014,250,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,05/02/2014,5100,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,05/02/2014,105,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,05/02/2014,5477.34,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,05/02/2014,522.58,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,10/02/2014,159,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,10/02/2014,125,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,10/02/2014,184,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,12/02/2014,198,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,14/02/2014,145.1,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,18/02/2014,184.28,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,26/02/2014,321.2,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,27/02/2014,1650,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,27/02/2014,781.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,27/02/2014,5442.6,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,27/02/2014,540.6,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/02/2014,180,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/02/2014,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/02/2014,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Aids & Appliances,1st Call Mobility,14/02/2014,305,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,07/02/2014,459.38,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Transport-Related Expenditure,Parking Charges,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,05/02/2014,1035,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,28/02/2014,5447.76,,,,,,,,
Adult Care & Support,Access & Enablement,HOCL,Supplies & Services,Equipment - Purchase,DISABLE AIDS (CANNOCK) LTD,14/02/2014,126.13,,,,,,,,
Adult Care & Support,Access & Enablement,HOCN,Supplies & Services,Hygiene Products,EXCALIBUR HYGIENE LTD,26/02/2014,193.74,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,24/02/2014,6200,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,10/02/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,10/02/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,10/02/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,17/02/2014,260,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,843.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,597.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,531.34,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,17/02/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,DAWLEY BARGAIN CENTRE,13/02/2014,120,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,DAWLEY BARGAIN CENTRE,13/02/2014,155,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,17/02/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,843.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,17/02/2014,1395,,,,,,,,
