Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
,,,,,,
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Buildings DLO Charge,WINDOW & DOOR CONTRACT SERVICES,09/02/2018,161.84
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Building Other,SHROPSHIRE BLINDS & AWNINGS LIMITED,09/02/2018,231
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M - Pavillions,Dawley Town Hall,09/02/2018,200
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Building Other,PP ELECTRICAL SERVICES (Shropshire) Ltd,15/02/2018,148.75
Adult Social Care,Community Early Help,Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,15/02/2018,236.34
Adult Social Care,Community Early Help,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,02/02/2018,175
Adult Social Care,Community Early Help,Supplies & Services,Translation Services,Severn intervention services,15/02/2018,325
Adult Social Care,Community Early Help,Supplies & Services,Out of School Activities Insurance,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),02/02/2018,251.06
Adult Social Care,Community Early Help,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,20/02/2018,120
Adult Social Care,Community Early Help,Premises-Related Expenditure,Hire Of Rooms,THE SALVATION ARMY,20/02/2018,180
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,23/02/2018,240.3
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,22/02/2018,184.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,379
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,209
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/02/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Primchurch Kennels & Cattery,06/02/2018,210
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,TELFORD & WREKIN SERVICES LTD,28/02/2018,188.37
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Frontier Medical Group,09/02/2018,104.5
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Frontier Medical Group,28/02/2018,114.5
Adult Social Care,Community Early Help,Premises-Related Expenditure,Aids & Adaptions,BERWICK CARE EQUIPMENT LTD,02/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,02/02/2018,453.64
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,20/02/2018,680.65
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/02/2018,327.71
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,26/02/2018,774.11
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,05/02/2018,300.27
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OpeMed (Europe) Ltd,05/02/2018,159
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Care & Independence,28/02/2018,150
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,23/02/2018,779.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,23/02/2018,439.75
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/02/2018,599
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,08/02/2018,595
