Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Care & Support,Access & Enablement,HOAB,Supplies & Services,Computer Software (Maint),OLM SYSTEMS LTD,31/01/2013,5312.5,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/01/2013,1384.82,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,21/01/2013,111.5,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,833.28,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,1261.8,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,100.53,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,160.11,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,111.69,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/01/2013,182.66,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,1446.82,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,1382.34,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,140.64,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,1419.54,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,31/01/2013,142,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,1392.26,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,31/01/2013,1352.58,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,139.3,
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,14/01/2013,123.01,
Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,15/01/2013,410,
Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,24/01/2013,1312,
Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,28/01/2013,-283.75,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,09/01/2013,367.5,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,15/01/2013,747.22,
Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID ACTION ON HEARING LOSS,07/01/2013,452.47,
Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,10/01/2013,125,
Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,10/01/2013,125,
Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,10/01/2013,125,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,POLLOCK LIFTS,08/01/2013,155.79,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,23/01/2013,567.5,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,23/01/2013,6424.13,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,STANNAH LIFT SERVICES LTD,24/01/2013,132.67,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,04/01/2013,127.6,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,25/01/2013,200,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,28/01/2013,1274,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,07/01/2013,882.5,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHRISBEON OFFICE SUPPLIES,07/01/2013,300,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHRISBEON OFFICE SUPPLIES,07/01/2013,106,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,04/01/2013,339,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Vela Vermund Larsen A/S,04/01/2013,1339.29,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,28/01/2013,-126,
Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,07/01/2013,552,
Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,TELFORD & WREKIN PCT,03/01/2013,1800,
Care & Support,Access & Enablement,HOAZ,Third Party Payments,Homecare Expenditure,THE CARE BUREAU,14/01/2013,817.32,
Care & Support,Access & Enablement,HOBB,Transport-Related Expenditure,Parking Charges,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,10/01/2013,945,
Care & Support,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),25/01/2013,218.46,
Care & Support,Access & Enablement,HOBB,Third Party Payments,Private Contractors,HILBRAE PETS HOTEL,10/01/2013,111,
Care & Support,Access & Enablement,HOBC,Supplies & Services,Mobile Phones,ORANGE PCS LTD,07/01/2013,135,
Care & Support,Access & Enablement,HOCN,Supplies & Services,Equipment - Purchase,WHITEFOOTS LIMITED,31/01/2013,169.8,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,09/01/2013,843.2,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,09/01/2013,668.46,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,225,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,225,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,225,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,225,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,29/01/2013,3457.78,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,08/01/2013,110,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,08/01/2013,385,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,29/01/2013,6150,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,29/01/2013,6430.67,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,29/01/2013,6532.94,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2013,851.88,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,03/01/2013,1151.65,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/01/2013,1285.8,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/01/2013,857.2,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,336.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,280,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,24/01/2013,261,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,2125.71,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,1760.36,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/01/2013,225,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,30/01/2013,1350,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,21/01/2013,300,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,18/01/2013,245,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,08/01/2013,720,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,31/01/2013,1328.66,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Farlow Esate Agents,08/01/2013,625,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,2612.86,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,2125.71,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,31/01/2013,1200,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,15/01/2013,315,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/01/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,1638.57,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,7076.43,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,8646.79,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,LEAVING CARE COMPANY,09/01/2013,1516.79,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,15/01/2013,300,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/01/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/01/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,10/01/2013,281.25,
Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,OLD VICARAGE,10/01/2013,315,
