Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/01/2014,1225.5,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/01/2014,1002.15,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/01/2014,998.1,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/01/2014,1194.9,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/01/2014,1079.1,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,29/01/2014,145.69,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,29/01/2014,177.02,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,24/01/2014,1102.35,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,24/01/2014,985.8,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,24/01/2014,2027.7,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,24/01/2014,792.22,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,ROYAL VOLUNTARY SERVICES,08/01/2014,268.03,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,ROYAL VOLUNTARY SERVICES,22/01/2014,738.8,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,06/01/2014,575.9,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,06/01/2014,565.2,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,06/01/2014,141.3,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,03/01/2014,570.55,,,,,,
