Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,15/01/2018, 160.20 
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,04/01/2018," 644,840.37 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,12/01/2018, 194.04 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,SHROPSHIRE COUNCIL ,15/01/2018," 8,764.20 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,05/01/2018, 249.48 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,30/01/2018, 332.64 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,WHITEHOUSE HOTELS LTD,05/01/2018," 2,124.04 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,Cornerstone Barristers,24/01/2018, 937.50 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Legal Expenses,NO 5 CHAMBERS LIMITED,02/01/2018, 400.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,30/01/2018, 249.48 
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,16/01/2018," 2,499.75 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,16/01/2018," 1,408.11 "
"Business, Development & Employment",Development Management & Planning Policy,Employees,Agency Supply Costs,The Oyster Partnership Ltd,24/01/2018," 3,533.64 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Protective Clothing,REDACTED PERSONAL INFORMATION,02/01/2018, 115.95 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Be Bold Media Limited,12/01/2018," 1,000.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Be Bold Media Limited,12/01/2018," 1,000.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Kensa Creative Ltd,15/01/2018," 1,575.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Marketing & Publicity,Kensa Creative Ltd,15/01/2018, 285.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Postages,ROYAL MAIL GROUP LTD ,05/01/2018, 265.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,11/01/2018, 166.32 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,03/01/2018, 117.00 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,30/01/2018, 166.32 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,30/01/2018, 221.76 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Service Contracts,SHROPSHIRE COUNCIL,11/01/2018," 1,679.00 "
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Stationery,STANFORD MARSH FINANCE LTD,02/01/2018, 170.22 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Stationery,STANFORD MARSH FINANCE LTD,02/01/2018, 104.10 
"Business, Development & Employment",Development Management & Planning Policy,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,30/01/2018, 706.85 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,10/01/2018, 983.50 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/01/2018, 276.14 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/01/2018, 459.60 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/01/2018, 918.53 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/01/2018, 579.46 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),04/01/2018,-234.41 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),18/01/2018, 748.42 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),18/01/2018, 406.27 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),18/01/2018, 201.55 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),04/01/2018, 644.71 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),04/01/2018, 100.36 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),04/01/2018, 294.21 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Gas,West Mercia Energy (WME),18/01/2018," 1,038.81 "
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD ,05/01/2018, 374.63 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,02/01/2018, 557.13 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,MIDLAND TML,29/01/2018, 705.42 
"Business, Development & Employment",Estates & Investment,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS LTD,25/01/2018, 374.63 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M WC Contingency,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,11/01/2018, 169.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/01/2018," 5,660.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/01/2018," 8,491.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,23/01/2018, 137.40 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,NPOWER ELECTRICITY,23/01/2018, 133.11 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/01/2018," 1,192.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,MAINSTAY PAYMENTS LTD,05/01/2018, 565.46 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,17/01/2018, 600.00 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Grounds Maintenance - L&CS,ASHTENNE ASSET MANAGEMENT LTD,10/01/2018," 1,016.45 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,22/01/2018, 358.20 
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/01/2018," 1,020.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Insurance Loss Over 250,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,24/01/2018," 2,640.00 "
"Business, Development & Employment",Estates & Investment,Premises-Related Expenditure,Electricity,(CIS) BRITISH GAS SERVICES LTD ,02/01/2018, 351.67 
