Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,10/07/2013,1005.66,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/07/2013,2023.86,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/07/2013,1063.86,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2013,1288.1,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2013,1005.38,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2013,105.06,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2013,154.12,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2013,102.12,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,HARTSHORNE COURT LUNCHEON CLUB,31/07/2013,120.8,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,01/07/2013,156.75,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,09/07/2013,105.81,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,18/07/2013,377.88,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,22/07/2013,158.16,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,11/07/2013,136.25,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,05/07/2013,165,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,05/07/2013,129,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,08/07/2013,158.11,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,08/07/2013,138.82,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,12/07/2013,1029.02,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,08/07/2013,745.68,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,15/07/2013,250,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CENTROBED LIMITED,15/07/2013,-3450,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/07/2013,113.85,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/07/2013,113.85,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/07/2013,113.85,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,16/07/2013,113.85,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,17/07/2013,423.46,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,18/07/2013,139,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,16/07/2013,157.89,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),08/07/2013,213.79,,
Adult Care & Support,Access & Enablement,HOCN,Supplies & Services,Other Expenses,Autonomy,22/07/2013,820,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,REDACTED PERSONAL INFORMATION,01/07/2013,170,,
