Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Other Expenses,HORIZON SOFT DRINKS LTD,01/07/2014,117
Adult Social Services,Access & Enablement,HMAA,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,08/07/2014,176.9
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,15/07/2014,785.52
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),Livingstone House,30/07/2014,768.67
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),Livingstone House,17/07/2014,361.52
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,17/07/2014,218.27
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,31/07/2014,143.52
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,10/07/2014,105.71
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,10/07/2014,142.16
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2014,-915.97
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2014,947.78
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/07/2014,131.74
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/07/2014,260.58
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/07/2014,998.78
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/07/2014,172.51
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,28/07/2014,-1059.98
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,28/07/2014,100.14
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2014,146.51
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2014,181.78
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/07/2014,114.13
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/07/2014,202.43
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/07/2014,119.5
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,22/07/2014,859.87
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ROYAL VOLUNTARY SERVICES,22/07/2014,268.59
Adult Social Services,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,16/07/2014,200
Adult Social Services,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,16/07/2014,400
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,HEARING PRODUCTS INTERNATIONAL LIMITED,04/07/2014,105
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SARABEC LIMITED,04/07/2014,1058.1
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,31/07/2014,149.75
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,31/07/2014,149.75
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,07/07/2014,460.95
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,16/07/2014,1239
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Alert-it Care Alarms,11/07/2014,480
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,D H Homecare Limited,09/07/2014,159.7
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,31/07/2014,590
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,31/07/2014,133.5
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,31/07/2014,205
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,17/07/2014,205
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,HILL-ROM LTD,18/07/2014,244.3
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,LANGHAM,24/07/2014,276.6
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,11/07/2014,383
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,24/07/2014,368
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,23/07/2014,380
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,23/07/2014,1750
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,23/07/2014,1650
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,23/07/2014,1050
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,23/07/2014,592.8
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,03/07/2014,135
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,22/07/2014,150
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,17/07/2014,115
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,31/07/2014,180
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,31/07/2014,175
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SILVALEA LIMITED,15/07/2014,333.5
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SMITCARE LTD,28/07/2014,971.8
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),11/07/2014,125
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),30/07/2014,125
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,07/07/2014,180
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,11/07/2014,113.68
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,30/07/2014,491.94
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,30/07/2014,577
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,03/07/2014,920
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,16/07/2014,150.5
Adult Social Services,Access & Enablement,HOAW,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,17/07/2014,78648
Adult Social Services,Access & Enablement,HOBB,Supplies & Services,Legal,THOMPSONS SOLICITORS,09/07/2014,291.66
Adult Social Services,Access & Enablement,HOCV,Supplies & Services,Equipment - Purchase,CLEANIT CLEANING SERVICES,18/07/2014,600
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,22/07/2014,28666.5
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,01/07/2014,3259.11
Adult Social Services,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),POHWER,01/07/2014,7634.33
Adult Social Services,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),ROYAL VOLUNTARY SERVICES,01/07/2014,6329.75
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),A Helping Hand,15/07/2014,181.25
Adult Social Services,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),BETHPHAGE,01/07/2014,328.32
