Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,Community Early Help,Supplies & Services,Telephones,EUROPEAN ELECTRONIQUE LTD,02/07/2018,196.2
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,04/07/2018,170
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Possum Ltd,16/07/2018,795
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Sanctuary Home Care (Lawley Court),23/07/2018,1528.08
Adult Social Care,Community Early Help,Supplies & Services,Medical Consultants Fees,TEC Services Association C.I.C,16/07/2018,400
Adult Social Care,Community Early Help,Supplies & Services,Purchased Meals,Madeley Day Centre,24/07/2018,1008.3
Adult Social Care,Community Early Help,Supplies & Services,Purchased Meals,Woodside Day Centre,24/07/2018,1551.13
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,02/07/2018,7499
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/07/2018,1190
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,10/07/2018,1797
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,23/07/2018,173.7
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,09/07/2018,2580
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,The Helping Hand Company (Ledbury) Ltd T/A Symmetrikit,20/07/2018,115
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Rise & Recline Ltd,06/07/2018,1337
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,24/07/2018,19662
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,02/07/2018,19662
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Wellington Pharmacy,24/07/2018,220
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Wellington Pharmacy,02/07/2018,220
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,200
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Aqueduct Pharmacy,02/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,24/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,02/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,30/07/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,24/07/2018,140
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,02/07/2018,522
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,24/07/2018,270
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,02/07/2018,150
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,16/07/2018,297.66
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,24/07/2018,833.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,24/07/2018,1036
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,203.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,246.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,103.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,427.6
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,1857.62
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,470.8
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,504
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,293
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,195.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,188
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,322.4
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,211.2
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,30/07/2018,404.92
