Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
Adult Social Care,Community Early Help,Supplies & Services,Security Services,ANGEL SPRINGS LTD / PHS GROUP,20/06/2018,206.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE & WREKIN FIRE AUTHORITY,04/06/2018,"1,800.00"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,13/06/2018,899.7
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,13/06/2018,"1,062.00"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,13/06/2018,"1,692.00"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,04/06/2018,"12,603.32"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,11/06/2018,786.4
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,11/06/2018,592.04
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,20/06/2018,779.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,20/06/2018,549.75
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,26/06/2018,595
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,26/06/2018,"1,880.50"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,25/06/2018,175.8
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,HANDICARE ACCESSIBILITY LIMITED,25/06/2018,427.2
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,08/06/2018,"1,070.80"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,15/06/2018,985
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,20/06/2018,292.24
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,20/06/2018,325
Adult Social Care,Community Early Help,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,21/06/2018,493.5
Adult Social Care,Community Early Help,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,21/06/2018,224.22
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,28/06/2018,167.95
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,28/06/2018,139.17
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,28/06/2018,223.17
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,28/06/2018,120
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,04/06/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,15/06/2018,185
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,26/06/2018,"4,700.50"
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,26/06/2018,147.5
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,26/06/2018,110
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,26/06/2018,177.36
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,26/06/2018,304.5
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,14/06/2018,177.36
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,14/06/2018,199.5
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,04/06/2018,363.5
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,04/06/2018,345.5
Adult Social Care,Community Early Help,Supplies & Services,Sampling & Analysis,THE WREKIN HOUSING TRUST (INVOICES ONLY),14/06/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),14/06/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),14/06/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),14/06/2018,370
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,01/06/2018,270
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Possum Ltd,29/06/2018,"1,075.00"
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Possum Ltd,11/06/2018,898
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/06/2018,203.28
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,06/06/2018,164.5
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,06/06/2018,141
Adult Social Care,Community Safeguarding & Social Work,Premises-Related Expenditure,General Rents,BOURNVILLE VILLAGE TRUST,15/06/2018,"71,908.65"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"44,206.00"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"1,856.68"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"1,856.68"
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"2,873.70"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"54,600.30"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"5,973.70"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),15/06/2018,"57,694.70"
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,Telford and Wrekin Community Enterprise LTD,22/06/2018,238
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CHOICES HOUSING ASSOCIATION,22/06/2018,"34,163.61"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,08/06/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,CREATIVE SUPPORT LTD,21/06/2018,"2,195.20"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,22/06/2018,"33,508.34"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,15/06/2018,"31,801.08"
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Services,WORD 360 T/AEXPRESS INTERPRETING & TRANSLATION,15/06/2018,107.51
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Services,WORD 360 T/AEXPRESS INTERPRETING & TRANSLATION,15/06/2018,103.59
Adult Social Care,Community Safeguarding & Social Work,Transfer Payments,Direct Payments - One Off Payments,FAIRSHARE CREDIT UNION LTD,22/06/2018,224.2
Adult Social Care,Community Safeguarding & Social Work,Transfer Payments,Direct Payments - One Off Payments,FAIRSHARE CREDIT UNION LTD,22/06/2018,"2,242.00"
Adult Social Care,Community Safeguarding & Social Work,Transfer Payments,Direct Payments - One Off Payments,FAIRSHARE CREDIT UNION LTD,22/06/2018,"4,652.15"
Adult Social Care,Community Safeguarding & Social Work,Transfer Payments,Direct Payments - One Off Payments,FAIRSHARE CREDIT UNION LTD,22/06/2018,"4,596.10"
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Equipment - Purchase,HILBRAE PETS HOTEL,21/06/2018,170
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SEVACARE (UK) LIMITED,27/06/2018,380.7
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SEVACARE (UK) LIMITED,27/06/2018,148.05
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,22/06/2018,"7,698.88"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/06/2018,"1,497.36"
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/06/2018,249.56
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Private Contractors,Engaging Communities,01/06/2018,"2,487.50"
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,22/06/2018,141
Adult Social Care,Early Help & Support Directorate,Premises-Related Expenditure,Hire Of Rooms,KETLEY PARISH COUNCIL,15/06/2018,296
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,11/06/2018,-247.68
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,13/06/2018,550
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,13/06/2018,550
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,13/06/2018,"1,544.94"
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,13/06/2018,"1,581.88"
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,14/06/2018,"3,479.47"
Adult Social Care,Early Help & Support Directorate,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,15/06/2018,"10,000.00"
Adult Social Care,Early Help & Support Directorate,Employees,Training Expenses,CARE MONITORING 2000 LTD,15/06/2018,"15,089.00"
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Other Capital Expenditure,NORTHGATE PUBLIC SERVICES (UK) LTD,28/06/2018,850
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Computer Software,ICT Revolutions Ltd,13/06/2018,"13,475.00"
Adult Social Care,Service Improvement & Efficiency,Capital Expenditure,Payments to Contractor,LIQUIDLOGIC LIMITED,20/06/2018,"40,320.00"
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Land Purchase,HM Revenue & Customs,01/06/2018,"19,800.00"
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,12/06/2018,"234,613.64"
"Business, Development & Employment","AD - Development, Business & Housing",Capital Expenditure,Other Capital Expenditure,NUPLACE LTD,14/06/2018,"500,000.00"
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Registration / Licence Fees,EQUIFAX PLC,22/06/2018,179.18
"Business, Development & Employment","AD - Development, Business & Housing",Supplies & Services,Marketing & Publicity,3S PRINT & DISPLAY LIMITED,22/06/2018,"2,815.00"
