Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/03/2013,"2,031.22"
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,WRVS,21/03/2013,239.89
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,18/03/2013,166.40
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/03/2013,812.93
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,18/03/2013,120.86
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/03/2013,"2,024.02"
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD,15/03/2013,971.31
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,18/03/2013,142.46
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,18/03/2013,194.77
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/03/2013,118.45
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/03/2013,163.90
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/03/2013,"1,316.88"
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/03/2013,"1,369.94"
Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,25/03/2013,"1,268.26"
Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,RANDLAY PENSIONERS LUNCHEON CLUB,25/03/2013,113.00
Care & Support,Access & Enablement,HOAC,Transport-Related Expenditure,Mileage,WRVS,21/03/2013,920.00
Care & Support,Access & Enablement,HOAG,Supplies & Services,Translation Services,VISS LTD,13/03/2013,125.00
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,11/03/2013,113.85
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,11/03/2013,"6,555.20"
Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,11/03/2013,654.03
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,07/03/2013,735.50
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,07/03/2013,280.00
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,NOTTINGHAM REHAB LIMITED,07/03/2013,"1,379.82"
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,07/03/2013,555.50
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Astor Bannerman (Medical) Ltd,07/03/2013,850.00
Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,13/03/2013,120.50
