Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,
Adult Care & Support,Access & Enablement,HJAC,Supplies & Services,Comp Software (Purch / Hire),THE COMMUNITY GATEWAY CIC,05/03/2014,3500,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/03/2014,139.69,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,27/03/2014,421.35,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/03/2014,158.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/03/2014,142.68,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/03/2014,166.9,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/03/2014,101.92,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/03/2014,135.57,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/03/2014,149.59,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/03/2014,183.91,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/03/2014,1003.88,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/03/2014,790.8,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),19/03/2014,2020.18,,,,,,,,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/03/2014,1115.55,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS,14/03/2014,1438.36,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,24/03/2014,209.25,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,COBOLT SYSTEMS LTD,24/03/2014,150,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,07/03/2014,249.2,,,,,,,,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,21/03/2014,125,,,,,,,,
Adult Care & Support,Access & Enablement,HOAN,Supplies & Services,Mobile Phones,ORANGE PERSONAL COMM SERVICES LTD,31/03/2014,290,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,12/03/2014,2445,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,31/03/2014,147.68,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,13/03/2014,500,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,13/03/2014,103.26,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,14/03/2014,120,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,26/03/2014,5523.66,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,26/03/2014,540.6,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,24/03/2014,209.65,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,24/03/2014,205.41,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,25/03/2014,256.4,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,28/03/2014,5447.76,,,,,,,,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,ACCORD HOUSING ASSOCIATION LIMITED,17/03/2014,119261.62,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,18/03/2014,163.43,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,20/03/2014,259.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,05/03/2014,2445,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,07/03/2014,100.28,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,21/03/2014,2095,,,,,,,,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,06/03/2014,374.5,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,31/03/2014,245,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,27/03/2014,735,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,28/03/2014,339.4,,,,,,,,
Adult Care & Support,Access & Enablement,HOBB,Supplies & Services,Equipment - Purchase,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),05/03/2014,560,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,792.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,YMCA,13/03/2014,2920.8,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,CLAY HOUSING,13/03/2014,6200,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1328.66,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,597.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,TELF CHRISTIAN COUNCIL SUPPORTED HOUSING,14/03/2014,647.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,14/03/2014,445.71,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1500.08,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Television Licenses,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,145.5,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,07/03/2014,-170.4,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/03/2014,9048,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,31/03/2014,377.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,31/03/2014,263.25,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,SAAIL,31/03/2014,-597.17,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,TELF CHRISTIAN COUNCIL SUPPORTED HOUSING,31/03/2014,-215.37,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,664.29,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,IMPACTING LIVES LIMITED,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,13/03/2014,251.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,1374.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1550,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,342.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1056.55,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,113.6,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,13/03/2014,699.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,13/03/2014,699.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,13/03/2014,699.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,IMPACTING LIVES LIMITED,13/03/2014,699.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,Keys 16 Plus ILS Ltd,13/03/2014,170.31,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,Keys 16 Plus ILS Ltd,13/03/2014,1771.37,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,13/03/2014,243.43,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THE ARLESTON INN HOTEL,13/03/2014,262.5,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,17/03/2014,1660.8,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1926.65,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,18/03/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,SAAIL,19/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/03/2014,454.29,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,1371.43,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,6342.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,2700,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,720,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,1417.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,6554.29,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,520,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,2790,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,1417.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,19/03/2014,177.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/03/2014,1041.46,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/03/2014,1374.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,19/03/2014,8559.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,1550,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,STAY TELFORD XC SUPPORTED HOUSE,19/03/2014,647.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,1328.57,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,298.93,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,11997,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,NEXT STEP CARE MANAGEMENT LTD,19/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,LEAVING CARE COMPANY,19/03/2014,316,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,1371.43,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,2700,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,6342.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,1080,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,822.86,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,3805.71,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,1620,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,1417.14,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,6260,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,JORDAN XAVIER,20/03/2014,2790,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/03/2014,-306.99,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,07/03/2014,-213.19,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,JORDAN XAVIER,13/03/2014,251.54,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,CLAY HOUSING,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1400,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,11223,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,13/03/2014,931.24,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,13/03/2014,227.2,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,CL - Basic Allowance,THEO LANGSTON,13/03/2014,284,,,,,,,,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,NEXT STEP CARE MANAGEMENT LTD,13/03/2014,1470,,,,,,,,
Adult Care & Support,Access & Enablement,JCAF,Supplies & Services,Furniture - Purchase,BACK CARE SOLUTIONS LTD,13/03/2014,520.95,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Premises-Related Expenditure,Hire Of Rooms,Mears Ltd,31/03/2014,205,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Legal Expenses,Contracts & Procurement Advice Limited,26/03/2014,3338.26,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAD,Supplies & Services,Translation Services,VISS LTD,07/03/2014,125,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),Towers Above,05/03/2014,4500,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HJAF,Supplies & Services,Other Grants (Expenses),COMMUNITY COUNCIL OF SHROPSHIRE,05/03/2014,4681,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEA,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,28/03/2014,242.37,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HLEA,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,05/03/2014,112.73,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),27/03/2014,4333.71,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBK,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),27/03/2014,89622.5,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD (SY3),27/03/2014,13549.87,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBL,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),27/03/2014,61475.21,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),18/03/2014,49817.01,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD (SY3),24/03/2014,51051.48,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,18/03/2014,6301.66,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBR,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,05/03/2014,7159.04,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,26239.8,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,35223.6,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,42268.32,,,,,,,,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,26/03/2014,29744.4,,,,,,,,
