Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Third Party Payments,Nursing Expenditure,ACCORD HOUSING ASSOCIATION LTD ,21/03/2018," 62,341.31 "
Adult Social Care,Community Early Help,Employees,Childcare Provision,CHILDCARE SOS,21/03/2018, 253.13 
Adult Social Care,Community Early Help,Employees,Childcare Provision,CHILDCARE SOS,13/03/2018, 168.75 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,16/03/2018, 373.00 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,16/03/2018, 178.38 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Direct Health Homecare Limited,12/03/2018, 104.18 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 149.40 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 149.60 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 531.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 899.70 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 549.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018," 1,818.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018," 1,890.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,14/03/2018, 899.90 
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,16/03/2018," 19,662.00 "
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,14/03/2018," 16,087.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,22/03/2018," 6,301.66 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Boots the Chemist Ltd,12/03/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,AA Moving Solutions Ltd,19/03/2018, 725.53 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,19/03/2018, 674.90 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,19/03/2018, 620.70 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,22/03/2018," 1,306.24 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,28/03/2018, 652.94 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,23/03/2018, 636.05 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,29/03/2018," 1,045.49 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Wellington Pharmacy,28/03/2018," 2,200.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Complete Care Network Ltd,12/03/2018," 7,990.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,13/03/2018," 1,547.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,23/03/2018," 5,000.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,23/03/2018, 519.80 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,27/03/2018, 499.90 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SARABEC LIMITED,12/03/2018, 443.85 
