Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,29/05/2013,398.56,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/05/2013,175.53,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,08/05/2013,165.28,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,24/05/2013,246,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/05/2013,576.05,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,23/05/2013,189.45,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,22/05/2013,170.27,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,15/05/2013,170.27,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,29/05/2013,164.3,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,15/05/2013,110.21,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,PATTERSON MEDICAL LTD,31/05/2013,-170.27,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,28/05/2013,125,
Adult Care & Support,Access & Enablement,HOAN,Supplies & Services,Mobile Phones,ORANGE PCS LTD,07/05/2013,146,
Adult Care & Support,Access & Enablement,HOAN,Supplies & Services,Mobile Phones,ORANGE PCS LTD,16/05/2013,135,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,09/05/2013,348.36,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,24/05/2013,6800,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MANGAR INTERNATIONAL LTD,24/05/2013,950,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,29/05/2013,652.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,21/05/2013,640,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CARE NECESSITIES LTD,20/05/2013,590,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,20/05/2013,512.8,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,20/05/2013,500,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AIDSERVICE LTD,20/05/2013,256.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,KINDERKEY HEALTHCARE LTD,03/05/2013,250,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,KINDERKEY HEALTHCARE LTD,03/05/2013,140,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/05/2013,7162.47,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,HANDICARE ACCESSIBILITY LIMITED,20/05/2013,803.87,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,07/05/2013,150,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,PRISM MEDICAL WESTHOLME DIVISION,08/05/2013,113,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/05/2013,1816.25,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/05/2013,726.5,
Adult Care & Support,Access & Enablement,HOCL,Supplies & Services,Mobile Phones,ORANGE PCS LTD,28/05/2013,135,
Adult Care & Support,Access & Enablement,HOCV,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,24/05/2013,13988.44,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,22/05/2013," 1,045.24 ",
Adult Care & Support,Access & Enablement,HOCV,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD,24/05/2013,13392.86,
