Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Contribution to Arthog,RANDLAY PENSIONERS LUNCHEON CLUB,01/05/2014,133.80
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,09/05/2014,263.12
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,09/05/2014,225.37
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,09/05/2014,803.85
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,-887.18
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,"-1,184.93"
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,144.09
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,"1,071.23"
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,166.31
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,157.34
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/05/2014,103.65
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/05/2014,127.11
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/05/2014,144.22
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,27/05/2014,"1,161.98"
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),01/05/2014,"2,020.18"
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),01/05/2014,801.49
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,RNIB SERVICES LIMITED,11/05/2014,600.00
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS (00732265),01/05/2014,-452.47
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,ACTION ON HEARING LOSS (01797293),27/05/2014,134.99
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CEFNDY ENTERPRISES HEALTHCARE,27/05/2014,537.84
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,CHILTERN INVADEX (UK) LTD,02/05/2014,111.50
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,11/05/2014,144.40
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,01/05/2014,124.96
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Essentialaids Ltd,02/05/2014,164.97
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,G & S SMIRTHWAITE LTD,15/05/2014,328.00
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MOUNTWAY LTD,21/05/2014,861.90
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,30/05/2014,105.00
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,SIMPLYMED LTD,11/05/2014,256.40
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Equipment - Repair,AIDSERVICE LTD,19/05/2014,183.50
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,30/05/2014,160.00
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,ABC CARE LTD,08/05/2014,"8,000.00"
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/05/2014,-180.24
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/05/2014,-526.50
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,08/05/2014,112.58
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,OK LET,09/05/2014,500.00
Adult Care & Support,Access & Enablement,JCAB,Transfer Payments,Leaving Care Grant,REDACTED PERSONAL INFORMATION,22/05/2014,225.00
Adult Care & Support,Adult Social Care Commissioning,HCAJ,Supplies & Services,Other Grants (Expenses),PARKWOOD HEALTHCARE LTD,14/05/2014,"40,162.50"
Adult Care & Support,Adult Social Care Commissioning,HCAL,Supplies & Services,Other Grants (Expenses),POHWER,28/05/2014,"7,634.33"
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),A4U,16/05/2014,"13,559.76"
