Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
Adult Social Care,Community Early Help,Third Party Payments,Nursing Expenditure,ACCORD HOUSING ASSOCIATION LTD ,30/05/2018," 60,986.06 ",
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,31/05/2018," 39,324.00 ",
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,31/05/2018," 16,087.00 ",
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,17/05/2018, 454.25 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,18/05/2018, 903.81 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,18/05/2018," 1,462.01 ",
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,24/05/2018, 108.45 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,29/05/2018," 1,434.27 ",
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,30/05/2018, 990.32 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,AKW MEDI-CARE LIMITED,30/05/2018, 217.37 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,25/05/2018, 595.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,18/05/2018, 184.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,22/05/2018, 185.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,22/05/2018, 185.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,22/05/2018," 4,700.50 ",
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),23/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 421.15 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 440.97 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST (INVOICES ONLY),02/05/2018, 125.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Impey Showers Limited,24/05/2018, 114.57 ,
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,16/05/2018, 196.02 ,
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Sanctuary Home Care (Lawley Court),02/05/2018, 118.82 ,
Adult Social Care,Community Early Help,Supplies & Services,Other Expenses,Vortex Cleaning,18/05/2018, 825.00 ,
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,18/05/2018, 141.00 ,
Adult Social Care,Community Early Help,Supplies & Services,Consultants Fees,TEC Services Association C.I.C,25/05/2018," 2,600.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,BROMFORD HOUSING ASSOCIATION LIMITED,31/05/2018," 12,176.40 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,11/05/2018," 26,026.92 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,11/05/2018,-720.19 ,
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD,11/05/2018," 94,560.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD,11/05/2018," 94,560.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LTD ,11/05/2018," 101,212.46 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,BOURNVILLE VILLAGE TRUST,11/05/2018," 132,965.89 ",
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,BOURNVILLE VILLAGE TRUST,11/05/2018," 53,186.36 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 42,780.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Nursing Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 52,839.00 ",
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Respite Care,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 2,781.00 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018," 5,390.36 ",
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD (SY3),11/05/2018,"-1,015.65 ",
