Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,21/11/2018, 120.00 
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,21/11/2018," 19,662.00 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,DIND LTD T/A Donnington Pharmacy,21/11/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. K (Oakengates) Ltd,21/11/2018, 140.00 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 427.84 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 825.12 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 641.76 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 511.88 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 924.44 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 809.84 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 595.92 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 473.68 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 580.64 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Serenity Always Healthcare,22/11/2018, 137.52 
Adult Social Care,Community Early Help,Third Party Payments,Nursing Expenditure,MORRIS CARE,22/11/2018," 1,485.71 "
Adult Social Care,Community Early Help,Third Party Payments,Nursing Expenditure,MORRIS CARE,22/11/2018," 5,371.43 "
Adult Social Care,Community Early Help,Third Party Payments,Nursing Expenditure,Rotherwood Healthcare (Roden Hall) Ltd,22/11/2018," 1,463.99 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 181.50 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 785.38 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018," 2,664.42 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 406.56 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 595.32 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 261.36 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 707.85 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,CHOICES HOUSING ASSOCIATION,27/11/2018, 418.38 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,5 Care Services Ltd,27/11/2018, 435.86 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,5 Care Services Ltd,27/11/2018, 253.08 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,PARADIGM HEALTH & SOCIAL CARE LTD,27/11/2018, 344.98 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 696.96 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 355.74 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 580.80 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 304.92 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 519.09 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018," 1,016.40 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 486.42 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,27/11/2018, 406.56 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Helping Hands Domiciliary Care Services,27/11/2018, 296.10 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Care Avenues Limited,27/11/2018, 620.40 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Care Avenues Limited,27/11/2018," 1,015.20 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,CHOICES HOUSING ASSOCIATION,26/11/2018," 1,194.98 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018," 1,093.66 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 198.18 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 205.52 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 579.86 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 660.60 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 300.94 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 389.02 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 355.99 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Nutrix Curae Care Ltd,28/11/2018, 308.28 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Helping Hands Domiciliary Care Services,28/11/2018, 954.20 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,01/11/2018, 464.64 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,PHOENIX CARE,01/11/2018, 504.00 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,30/11/2018, 435.60 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,30/11/2018, 101.64 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Brockton Care LTD,30/11/2018, 203.28 
