Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Publications,DRUGSCOPE,22/10/2014,180,,,
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,22/10/2014,801.24,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,22/10/2014,1840,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,22/10/2014,1295,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,22/10/2014,1295,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),Livingstone House,06/10/2014,1126,,,
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,15/10/2014,"3,643.92",,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ACCORD HOUSING ASSOCIATION LIMITED,13/10/2014,137.54,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/10/2014,930.23,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,13/10/2014,-899.48,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),13/10/2014,2024.66,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),13/10/2014,782.53,,,
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,ROYAL VOLUNTARY SERVICES,27/10/2014,942.4,,,
Adult Social Services,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,13/10/2014,137,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,17/10/2014,116.73,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Adaptations,TRAVIS PERKINS TRADING CO LIMITED,10/10/2014,109.86,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,A4 MTS Ltd,06/10/2014,427.5,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,01/10/2014,818.15,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,08/10/2014,371.2,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,08/10/2014,125,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,24/10/2014,306.63,,,
Adult Social Services,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions Ltd,24/10/2014,1172.5,,,
