Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount 
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/10/2018," 19,662.00 "
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,25/10/2018, 160.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,A.S. Kitching (Oakengates) Ltd,25/10/2018, 140.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,25/10/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Lawley Pharmacy,25/10/2018, 120.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,25/10/2018, 140.00 
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,Medshires,25/10/2018, 140.00 
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,25/10/2018, 120.00 
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,12/10/2018," 19,662.00 "
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,12/10/2018," 19,662.00 "
Adult Social Care,Community Early Help,Transport-Related Expenditure,Transport Contractors,SALOP MEDICAL SERVICES (UK) LTD,14/10/2018, 150.00 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,SEVACARE (UK) LIMITED,25/10/2018, 415.52 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,5 Care Services Ltd,25/10/2018, 421.80 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,30/10/2018, 609.22 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,09/10/2018," 3,158.00 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,09/10/2018," 1,096.40 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,09/10/2018," 1,788.72 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,09/10/2018, 846.40 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,12/10/2018, 630.00 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,12/10/2018," 1,699.36 "
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,12/10/2018, 573.60 
Adult Social Care,Community Early Help,Employees,Other Employee Costs,SHREWSBURY & TELFORD HOSPITAL NHS TRUST,09/10/2018, 522.00 
Adult Social Care,Community Early Help,Transport-Related Expenditure,Travelling Expenses General,Colette Purdon,12/10/2018, 121.55 
Adult Social Care,Community Early Help,Third Party Payments,Homecare Expenditure,Medgen LTD,12/10/2018, 473.60 
Adult Social Care,Community Early Help,Employees,Employee Costs Recharged,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/10/2018," 16,087.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Rise & Recline Ltd,18/10/2018," 1,137.00 "
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,HANDICARE ACCESSIBILITY LIMITED,22/10/2018, 298.35 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,26/10/2018, 449.95 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,NRS Healthcare T/A Nottingham Rehab Ltd,01/10/2018, 276.93 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,23/10/2018, 134.85 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,05/10/2018, 823.50 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,15/10/2018, 125.00 
