Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2013,176.31,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,19/09/2013,1273.8,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,141.09,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,1113,
Adult Care & Support,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,16/09/2013,362.45,
Adult Care & Support,Access & Enablement,HOAF,Third Party Payments,Private Contractors,ROYAL NATIONAL INSTITUTE FOR THE BLIND,30/09/2013,410,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,17/09/2013,177.25,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,382.9,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,287.5,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,119.9,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNIB SERVICES LIMITED,02/09/2013,285,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,SW RETAIL LTD T/A IC,13/09/2013,629.75,
Adult Care & Support,Access & Enablement,HOAG,Supplies & Services,Aids & Appliances,RNID PRODUCTS,13/09/2013,1271.78,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAG,Third Party Payments,Interpreters Fees,VISS LTD,12/09/2013,125,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Direct Mobility ltd,12/09/2013,219,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,12/09/2013,1797,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,BERWICK CARE EQUIPMENT LTD,12/09/2013,1650,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,12/09/2013,501.9,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AA Moving Solutions,12/09/2013,796.5,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Astor Bannerman (Medical) Ltd,05/09/2013,599,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,05/09/2013,907.52,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Essential Aids,13/09/2013,224.8,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,MOUNTWAY LTD,30/09/2013,275,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,Easylink,30/09/2013,319.16,
Adult Care & Support,Access & Enablement,HOAP,Supplies & Services,Aids & Appliances,AKW MEDI-CARE LIMITED,30/09/2013,506.52,
Adult Care & Support,Access & Enablement,HOAP,Third Party Payments,Interpreters Fees,PEARL LINGUISTICS LTD,06/09/2013,283.8,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,12/09/2013,180,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,24/09/2013,160,
Adult Care & Support,Access & Enablement,HOAW,Supplies & Services,Equipment - Purchase,Boots The Chemist,24/09/2013,160,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,03/09/2013,1453,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,03/09/2013,1816.25,
Adult Care & Support,Access & Enablement,HOAW,Third Party Payments,Nursing Expenditure,OAKENGATES MEDICAL PRACTICE,24/09/2013,1816.25,
Adult Care & Support,Access & Enablement,HOBB,Employees,Agency Supply Costs,PROSPECTS FPWLD,19/09/2013,162.1,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,930,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,721.08,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,843.2,
Adult Care & Support,Access & Enablement,JCAB,Supplies & Services,Supportive Lodgings,THEO LANGSTON,26/09/2013,4384.33,
Adult Care & Support,Adult Social Care Commissioning,HASA,Supplies & Services,Other Grants (Expenses),TELFORD & WREKIN CVS,27/09/2013,6000,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),Age UK Shropshire Telford & Wrekin,16/09/2013,30891,
Adult Care & Support,Adult Social Care Commissioning,HJAA,Supplies & Services,Other Grants (Expenses),SIGHT LOSS SHROPSHIRE,23/09/2013,3696.11,
Adult Care & Support,Adult Social Care Commissioning,HJAE,Supplies & Services,Other Grants (Expenses),COMMUNITY COUNCIL OF SHROPSHIRE,23/09/2013,2785,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,23/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,18904.98,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBS,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,25/09/2013,6301.66,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,46797.07,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,38997.56,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,32931.3,
Adult Care & Support,Adult Social Care Commissioning,HOBZ,Third Party Payments,Health Funded Services,DIMENSIONS (UK) LTD,03/09/2013,29051.21,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,26/09/2013,14999.18,
Adult Care & Support,Assessment & Case Management,HLCG,Third Party Payments,Nursing Expenditure,THE WREKIN HOUSING TRUST,30/09/2013,1562.82,
Adult Care & Support,Assessment & Case Management,HOBN,Third Party Payments,Homecare Expenditure,Home Instead,26/09/2013,2251.98,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Telecomms,BRITISH TELECOMMUNICATIONS PLC,12/09/2013,409.15,
Adult Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CARE MONITORING 2000 LTD,12/09/2013,5000,
Care & Support,Assessment & Case Management,HPAB,Supplies & Services,Computer Software (Maint),CM 2000 CARE MONITORING,23/09/2013, 992.36 ,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Laundry & Towel Hire,PHS GROUP LTD,24/09/2013,401.01,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,30/09/2013,151.15,
Adult Care & Support,Personalisation Support & Service Provision,HLBC,Supplies & Services,Provisions,BIKOLD,30/09/2013,123.01,
Adult Care & Support,Personalisation Support & Service Provision,HLCE,Premises-Related Expenditure,General Rents,THE WREKIN HOUSING TRUST,20/09/2013,1956,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,114.75,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,242.21,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,151.13,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Equipment - Purchase,JACKDAW DINSTOCK,03/09/2013,275.93,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,03/09/2013,300,
Adult Care & Support,Personalisation Support & Service Provision,HLDB,Supplies & Services,Items For Resale,TELFORD TIMBER SUPPLIES,03/09/2013,111.6,
