Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Computer Hardware (Maint),ILLY SYSTEMS LTD,22/09/2014,11700
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Translation Services,PEARL LINGUISTICS LTD,02/09/2014,114
Adult Social Services,Access & Enablement,HMAA,Supplies & Services,Service Contracts,SRCL LTD,22/09/2014,805.46
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),CAIS Ltd,29/09/2014,2300
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,05/09/2014,51824.64
Adult Social Services,Access & Enablement,HMAX,Supplies & Services,Other Grants (Expenses),S STAFFORDSHIRE & SHROPSHIRE HEALTHCARE,29/09/2014,8907.36
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,01/09/2014,121.54
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,02/09/2014,126.98
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,03/09/2014,914.78
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,145.61
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,845.93
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,909.53
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,125.82
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,17/09/2014,236.22
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,APETITO LTD,26/09/2014,978.38
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Aids & Appliances,CATERBAKE PACKAGING LTD,30/09/2014,110.02
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/09/2014,2024.66
Adult Social Services,Access & Enablement,HOAC,Supplies & Services,Purchased Meals,COVERAGE CARE SERVICES LTD (SY3),17/09/2014,782.18
