Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Purchase,NRS Healthcare T/A Nottingham Rehab Ltd,17/09/2018,129.27
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,03/09/2018,153
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Possum Ltd,03/09/2018,449
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,TOTAL HYGIENE LIMITED,13/09/2018,185
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,27/09/2018,297
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,THE WREKIN HOUSING TRUST ,27/09/2018,125
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,Easylink,27/09/2018,561.9
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,13/09/2018,6391
Adult Social Care,Community Early Help,Supplies & Services,Equipment - Repair,WESSEX LIFT CO. LTD,13/09/2018,1407
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,21/09/2018,187.5
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,21/09/2018,1200
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,21/09/2018,600
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,POWERGUARDS INC RAMPING SYSTEMS,21/09/2018,1800
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,OSPREY HEALTHCARE LTD,03/09/2018,159
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,27/09/2018,6301.66
Adult Social Care,Community Early Help,Supplies & Services,Aids & Appliances,STANNAH LIFT SERVICES LTD,13/09/2018,307.18
Adult Social Care,Community Early Help,Supplies & Services,Homelessness Prevention,PARK INN TELFORD,24/09/2018,2005
Adult Social Care,Community Early Help,Supplies & Services,Furniture - Purchase,OFFICE FURNITURE ONLINE,11/09/2018,139
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,DIAMOND CARS (TELFORD) LTD,25/09/2018,420
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,25/09/2018,1285.2
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Taxi Costs,REDACTED PERSONAL INFORMATION,25/09/2018,171.36
Adult Social Care,Community Safeguarding & Social Work,Transport-Related Expenditure,Transport Contractors,Cartello Ambulance,25/09/2018,171.5
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),REDACTED PERSONAL INFORMATION,25/09/2018,383.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD ,25/09/2018,39883.71
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,COVERAGE CARE SERVICES LTD ,25/09/2018,3713.36
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Daycare Expenditure,COVERAGE CARE SERVICES LTD ,25/09/2018,5973.7
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,ACCORD HOUSING ASSOCIATION LTD ,25/09/2018,25186.91
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,25/09/2018,7698.88
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,SUPREME HOME CARE,25/09/2018,7698.88
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD ,26/09/2018,57694.7
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,25/09/2018,31801.08
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,DIMENSIONS (UK) LTD,25/09/2018,33508.34
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,25/09/2018,38624.18
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,ACCORD HOUSING ASSOCIATION LTD ,26/09/2018,102337.04
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Residential Expenditure,CREATIVE SUPPORT LTD,27/09/2018,38860.06
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,COVERAGE CARE SERVICES LTD ,25/09/2018,302.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Brockton Care LTD,26/09/2018,
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,757.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1660.31
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,738.12
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2456.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2535.96
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1184.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1572.91
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3102.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1127.6
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,617.6
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1080.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1961.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3209.6
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,498.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,4855.79
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,687.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1053.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,548
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1772
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,4038.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2416.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,889.6
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,917.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2692.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1131.31
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2269.12
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3313.72
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3531
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3098
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2529.92
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2416
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3222.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,536.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,126.51
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1692
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1712.44
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,4249.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1221.6
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1272
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3199.68
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1711.71
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,947.2
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,3772
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1380.4
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,2132
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,1175.8
Adult Social Care,Community Safeguarding & Social Work,Third Party Payments,Homecare Expenditure,Medgen LTD,28/09/2018,514.4
Adult Social Care,Community Safeguarding & Social Work,Employees,Training Expenses,SHROPSHIRE COUNCIL ,13/09/2018,155
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,19/09/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,19/09/2018,449.56
Adult Social Care,Community Safeguarding & Social Work,Supplies & Services,Other Grants (Expenses),CREATIVE SUPPORT LTD,19/09/2018,449.56
